n,R,T,seed,input_path,memory_limit_mb,timeout_sec,custom_status,std_unordered_status,comparison_status,objective_match,custom_order_valid,std_unordered_order_valid,custom_order_length,std_unordered_order_length,custom_reconstructed_order_cost,std_unordered_reconstructed_order_cost,custom_objective,std_unordered_objective,custom_reported_time_ms,std_unordered_reported_time_ms,ratio_std_unordered_to_custom_reported_time,custom_wall_time_ms,std_unordered_wall_time_ms,ratio_std_unordered_to_custom_wall_time,custom_nodes,std_unordered_nodes,nodes_match,custom_memo_hits,std_unordered_memo_hits,custom_memo_misses,std_unordered_memo_misses,custom_memo_used_mb,std_unordered_memo_used_mb,custom_memo_evictions,std_unordered_memo_evictions,custom_reconstruction_time_ms,std_unordered_reconstruction_time_ms,custom_trace_fallbacks,std_unordered_trace_fallbacks,process_memory_gate,notes,custom_run_line,std_unordered_run_line,source_file,process_gated_file,time_ratio_custom_to_std,memory_ratio_custom_to_std,memo_full_key_verification_ok,exact_memo_enabled_ok
50,0.2,0.6,0,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_1.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,12477,12477,12477,12477,3.9611,3.8724,0.977607,10.628,10.899,1.025499,2723,2723,True,197,197,5445,5445,0.415497,0.498596,0,0,0.0528,0.0499,0,0,False,,[run] n=50 seed=0 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_1.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12477 time_ms=3.9611 nodes=2723 max_depth=49 memo_hits=197 memo_misses=5445 memo_exact_hits=197 memo_lb_hits=0 rule4=1 valid_pos=23533 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=64 terminal_edd=346 memo_peak=2723 memo_final=2723 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0528 reconstruction_repairs=0 reconstruction_trace_hits=43 reconstruction_trace_fallbacks=0 memo_used_mb=0.415497 memo_bytes_per_entry=160,[run] n=50 seed=0 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_1.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12477 time_ms=3.8724 nodes=2723 max_depth=49 memo_hits=197 memo_misses=5445 memo_exact_hits=197 memo_lb_hits=0 rule4=1 valid_pos=23533 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=64 terminal_edd=346 memo_peak=2723 memo_final=2723 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0499 reconstruction_repairs=0 reconstruction_trace_hits=43 reconstruction_trace_fallbacks=0 memo_used_mb=0.498596 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0229056915607893,0.8333340018772715,True,True
50,0.2,0.6,1,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_2.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,9673,9673,9673,9673,0.7826,0.7863,1.004728,9.359,7.062,0.754568,469,469,True,31,31,937,937,0.0715637,0.0858765,0,0,0.0483,0.0463,0,0,False,,[run] n=50 seed=1 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_2.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=9673 time_ms=0.7826 nodes=469 max_depth=49 memo_hits=31 memo_misses=937 memo_exact_hits=31 memo_lb_hits=0 rule4=1 valid_pos=3384 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=5 terminal_edd=84 memo_peak=469 memo_final=469 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0483 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0715637 memo_bytes_per_entry=160,[run] n=50 seed=1 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_2.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=9673 time_ms=0.7863 nodes=469 max_depth=49 memo_hits=31 memo_misses=937 memo_exact_hits=31 memo_lb_hits=0 rule4=1 valid_pos=3384 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=5 terminal_edd=84 memo_peak=469 memo_final=469 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0463 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0858765 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,0.9952944168892279,0.833332751101873,True,True
50,0.2,0.6,2,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_3.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,11424,11424,11424,11424,0.3309,0.331,1.000302,8.306,6.605,0.795208,127,127,True,1,1,253,253,0.0193787,0.0232544,0,0,0.0459,0.0553,0,0,False,,[run] n=50 seed=2 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_3.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=11424 time_ms=0.3309 nodes=127 max_depth=49 memo_hits=1 memo_misses=253 memo_exact_hits=1 memo_lb_hits=0 rule4=1 valid_pos=1446 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=21 memo_peak=127 memo_final=127 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0459 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0193787 memo_bytes_per_entry=160,[run] n=50 seed=2 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_3.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=11424 time_ms=0.331 nodes=127 max_depth=49 memo_hits=1 memo_misses=253 memo_exact_hits=1 memo_lb_hits=0 rule4=1 valid_pos=1446 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=0 terminal_edd=21 memo_peak=127 memo_final=127 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0553 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0232544 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,0.9996978851963747,0.8333347667538186,True,True
50,0.2,0.6,3,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_4.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,13402,13402,13402,13402,4.0352,3.9139,0.96994,11.373,10.439,0.917876,2653,2653,True,337,337,5305,5305,0.404816,0.485779,0,0,0.0491,0.0453,0,0,False,,[run] n=50 seed=3 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_4.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=13402 time_ms=4.0352 nodes=2653 max_depth=49 memo_hits=337 memo_misses=5305 memo_exact_hits=337 memo_lb_hits=0 rule4=1 valid_pos=23601 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=19 terminal_edd=340 memo_peak=2653 memo_final=2653 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0491 reconstruction_repairs=0 reconstruction_trace_hits=41 reconstruction_trace_fallbacks=0 memo_used_mb=0.404816 memo_bytes_per_entry=160,[run] n=50 seed=3 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_4.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=13402 time_ms=3.9139 nodes=2653 max_depth=49 memo_hits=337 memo_misses=5305 memo_exact_hits=337 memo_lb_hits=0 rule4=1 valid_pos=23601 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=19 terminal_edd=340 memo_peak=2653 memo_final=2653 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0453 reconstruction_repairs=0 reconstruction_trace_hits=41 reconstruction_trace_fallbacks=0 memo_used_mb=0.485779 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0309921050614477,0.8333336764248763,True,True
50,0.2,0.6,4,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_5.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,12928,12928,12928,12928,1.0481,1.0213,0.97443,8.603,7.254,0.843194,698,698,True,14,14,1395,1395,0.106506,0.127808,0,0,0.0543,0.0525,0,0,False,,[run] n=50 seed=4 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_5.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12928 time_ms=1.0481 nodes=698 max_depth=49 memo_hits=14 memo_misses=1395 memo_exact_hits=14 memo_lb_hits=0 rule4=1 valid_pos=4623 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=13 terminal_edd=106 memo_peak=698 memo_final=698 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0543 reconstruction_repairs=0 reconstruction_trace_hits=46 reconstruction_trace_fallbacks=0 memo_used_mb=0.106506 memo_bytes_per_entry=160,[run] n=50 seed=4 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_5.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12928 time_ms=1.0213 nodes=698 max_depth=49 memo_hits=14 memo_misses=1395 memo_exact_hits=14 memo_lb_hits=0 rule4=1 valid_pos=4623 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=13 terminal_edd=106 memo_peak=698 memo_final=698 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0525 reconstruction_repairs=0 reconstruction_trace_hits=46 reconstruction_trace_fallbacks=0 memo_used_mb=0.127808 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.02624106530892,0.8333281171757636,True,True
50,0.2,0.6,5,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_6.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,10585,10585,10585,10585,0.6226,0.6176,0.991969,7.98,6.73,0.843358,326,326,True,0,0,651,651,0.0497437,0.0596924,0,0,0.0461,0.0535,0,0,False,,[run] n=50 seed=5 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_6.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=10585 time_ms=0.6226 nodes=326 max_depth=49 memo_hits=0 memo_misses=651 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=3115 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=3 terminal_edd=57 memo_peak=326 memo_final=326 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0461 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0497437 memo_bytes_per_entry=160,[run] n=50 seed=5 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_6.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=10585 time_ms=0.6176 nodes=326 max_depth=49 memo_hits=0 memo_misses=651 memo_exact_hits=0 memo_lb_hits=0 rule4=1 valid_pos=3115 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=3 terminal_edd=57 memo_peak=326 memo_final=326 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0535 reconstruction_repairs=0 reconstruction_trace_hits=40 reconstruction_trace_fallbacks=0 memo_used_mb=0.0596924 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0080958549222798,0.8333338917517138,True,True
50,0.2,0.6,6,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_7.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,14108,14108,14108,14108,0.7244,0.7085,0.978051,9.626,6.859,0.712549,446,446,True,6,6,891,891,0.0680542,0.081665,0,0,0.046,0.0419,0,0,False,,[run] n=50 seed=6 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_7.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=14108 time_ms=0.7244 nodes=446 max_depth=49 memo_hits=6 memo_misses=891 memo_exact_hits=6 memo_lb_hits=0 rule4=1 valid_pos=3435 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=2 terminal_edd=76 memo_peak=446 memo_final=446 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.046 reconstruction_repairs=0 reconstruction_trace_hits=38 reconstruction_trace_fallbacks=0 memo_used_mb=0.0680542 memo_bytes_per_entry=160,[run] n=50 seed=6 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_7.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=14108 time_ms=0.7085 nodes=446 max_depth=49 memo_hits=6 memo_misses=891 memo_exact_hits=6 memo_lb_hits=0 rule4=1 valid_pos=3435 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=2 terminal_edd=76 memo_peak=446 memo_final=446 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0419 reconstruction_repairs=0 reconstruction_trace_hits=38 reconstruction_trace_fallbacks=0 memo_used_mb=0.081665 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0224417784050812,0.8333337415049286,True,True
50,0.2,0.6,7,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_8.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,12464,12464,12464,12464,1.4247,1.4263,1.001123,9.911,8.019,0.809101,934,934,True,39,39,1867,1867,0.142517,0.171021,0,0,0.0372,0.0378,0,0,False,,[run] n=50 seed=7 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_8.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12464 time_ms=1.4247 nodes=934 max_depth=49 memo_hits=39 memo_misses=1867 memo_exact_hits=39 memo_lb_hits=0 rule4=1 valid_pos=7796 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=4 terminal_edd=224 memo_peak=934 memo_final=934 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0372 reconstruction_repairs=0 reconstruction_trace_hits=31 reconstruction_trace_fallbacks=0 memo_used_mb=0.142517 memo_bytes_per_entry=160,[run] n=50 seed=7 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_8.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=12464 time_ms=1.4263 nodes=934 max_depth=49 memo_hits=39 memo_misses=1867 memo_exact_hits=39 memo_lb_hits=0 rule4=1 valid_pos=7796 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=4 terminal_edd=224 memo_peak=934 memo_final=934 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0378 reconstruction_repairs=0 reconstruction_trace_hits=31 reconstruction_trace_fallbacks=0 memo_used_mb=0.171021 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,0.998878216364019,0.8333304097157659,True,True
50,0.2,0.6,8,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_9.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,13510,13510,13510,13510,4.4244,4.3127,0.974754,11.871,10.824,0.911802,2979,2979,True,242,242,5957,5957,0.454559,0.545471,0,0,0.0531,0.0566,0,0,False,,[run] n=50 seed=8 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_9.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=13510 time_ms=4.4244 nodes=2979 max_depth=49 memo_hits=242 memo_misses=5957 memo_exact_hits=242 memo_lb_hits=0 rule4=1 valid_pos=24951 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=22 terminal_edd=359 memo_peak=2979 memo_final=2979 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0531 reconstruction_repairs=0 reconstruction_trace_hits=46 reconstruction_trace_fallbacks=0 memo_used_mb=0.454559 memo_bytes_per_entry=160,[run] n=50 seed=8 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_9.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=13510 time_ms=4.3127 nodes=2979 max_depth=49 memo_hits=242 memo_misses=5957 memo_exact_hits=242 memo_lb_hits=0 rule4=1 valid_pos=24951 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=22 terminal_edd=359 memo_peak=2979 memo_final=2979 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0566 reconstruction_repairs=0 reconstruction_trace_hits=46 reconstruction_trace_fallbacks=0 memo_used_mb=0.545471 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0259002481044357,0.833333027786995,True,True
50,0.2,0.6,9,D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_10.txt,12288,1200,SOLVED,SOLVED,MATCH,True,True,True,50,50,10883,10883,10883,10883,1.1747,1.1195,0.953009,8.695,7.335,0.843588,703,703,True,56,56,1405,1405,0.107269,0.128723,0,0,0.0472,0.0493,0,0,False,,[run] n=50 seed=9 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_10.txt decomp=adaptive memo_backend=custom use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=10883 time_ms=1.1747 nodes=703 max_depth=49 memo_hits=56 memo_misses=1405 memo_exact_hits=56 memo_lb_hits=0 rule4=1 valid_pos=6208 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=5 terminal_edd=166 memo_peak=703 memo_final=703 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0472 reconstruction_repairs=0 reconstruction_trace_hits=35 reconstruction_trace_fallbacks=0 memo_used_mb=0.107269 memo_bytes_per_entry=160,[run] n=50 seed=9 input=D:\test2\results\memo_backend_no_gate\data\50\SDT_50_0.2_0.6_10.txt decomp=adaptive memo_backend=std_unordered use_ub=0 use_lb=0 terminal_rules=1 position_filtering_enabled=1 enable_lawler_basic_rules=1 enable_simple_lb=0 enable_lb_memo=0 enable_edd_ub=0 ub_depth_limit=-1 lb_depth_limit=-1 terminal_all_tardy_spt=1 terminal_edd_at_most_one_tardy=1 enable_memo=1 enable_exact_memo=1 memo_full_key_verification=1 memo_memory_limit_mb=12288 cost=10883 time_ms=1.1195 nodes=703 max_depth=49 memo_hits=56 memo_misses=1405 memo_exact_hits=56 memo_lb_hits=0 rule4=1 valid_pos=6208 valid_pos_pruned_3a=0 valid_pos_pruned_3b=0 memo_rejected=0 memo_forced_evict=0 lufo_passes=0 terminal_spt=5 terminal_edd=166 memo_peak=703 memo_final=703 memo_evictions=0 memo_clean_time_ms=0 reconstruction_time_ms=0.0493 reconstruction_repairs=0 reconstruction_trace_hits=35 reconstruction_trace_fallbacks=0 memo_used_mb=0.128723 memo_bytes_per_entry=192,C:\c++\test2\results\memo_backend_no_gate\raw_results.csv,False,1.0493077266636892,0.8333320385634269,True,True
